Species	Status	min_age	max_age
Aves	extinct	37.2	55.8
Aves	extinct	37.2	55.8
Chaoyangsaurus_youngi	extinct	132.9	150.8
Protarchaeopteryx_robusta	extinct	122.46	130
Caudipteryx_zoui	extinct	122.46	130
Theropoda	extinct	66	83.6
Dinosauria	extinct	113	145
Gorgosaurus_libratus	extinct	70.6	83.5
Hadrosauridae	extinct	70.6	83.5
Gorgosaurus_libratus	extinct	70.6	83.5
Centrosaurus_apertus	extinct	70.6	83.5
Gorgosaurus_libratus	extinct	70.6	83.5
Gorgosaurus_libratus	extinct	70.6	83.5
Gorgosaurus_libratus	extinct	70.6	83.5
Albertosaurus_sarcophagus	extinct	66	72.1
Albertosaurus_sarcophagus	extinct	66	70.6
Albertosaurus_sarcophagus	extinct	70.6	83.5
Albertosaurus_sarcophagus	extinct	70.6	83.5
Albertosaurus_sarcophagus	extinct	70.6	83.5
Isisaurus_colberti	extinct	66	72.1
Daspletosaurus_torosus	extinct	70.6	83.5
Daspletosaurus_torosus	extinct	70.6	83.5
Daspletosaurus_torosus	extinct	70.6	83.5
Albertosaurus	extinct	66	70.6
Tyrannosaurus_rex	extinct	66	72.1
Tyrannosaurus_rex	extinct	66	72.1
Gryposaurus_notabilis	extinct	70.6	83.5
Theropoda	extinct	190.8	201.3
Amygdalodon_patagonicus	extinct	171.6	180.1
Camarasaurus_supremus	extinct	145	157.3
Camarasaurus_supremus	extinct	152.1	157.3
Ankylosaurus_magniventris	extinct	66	72.1
Titanosauriformes	extinct	109	122.46
Dromaeosauridae	extinct	66	70.6
Bistahieversor_sealeyi	extinct	70.6	83.5
Theropoda	extinct	145	148.5
Coelurosauria	extinct	66	72.1
Pachycephalosaurus_wyomingensis	extinct	66	72.1
Hadrosauridae	extinct	66	72.1
Sonorasaurus_thompsoni	extinct	93.5	105.3
Gaviiformes	extinct	66	70.6
Mononykus_olecranus	extinct	66	72.1
Tarbosaurus_bataar	extinct	66	72.1
Dinosauria	extinct	66	145
Coeluridae	extinct	66	72.1
Titanosauridae	extinct	72.1	83.6
Carnosauria	extinct	66	72.1
Allosaurus_fragilis	extinct	145	157.3
Allosaurus_fragilis	extinct	145	157.3
Allosaurus_fragilis	extinct	145	157.3
Diplodocus	extinct	145	157.3
Stegosaurus	extinct	145	157.3
Camarasaurus_grandis	extinct	145	157.3
Allosaurus_fragilis	extinct	145	157.3
Hadrosauroidea	extinct	66	70.6
Theropoda	extinct	199.3	208.5
Ornimegalonyx_oteroi	extinct	0.0117	2.588
Ornithopoda	extinct	122.46	130
Theropoda	extinct	122.46	130
Hypsilophodon	extinct	122.46	130
Scutellosaurus_lawleri	extinct	182.7	199.3
Scutellosaurus_lawleri	extinct	182.7	199.3
Orodromeus_makelai	extinct	72.1	83.6
Maiasaura_peeblesorum	extinct	72.1	83.6
Goyocephale_lattimorei	extinct	66	86.3
Efraasia_minor	extinct	208.5	228
Tethyshadros_insularis	extinct	66	83.5
Dinosauria	extinct	2.588	70.6
Anhinga_subvolans	extinct	15.97	20.43
Promilio_floridanus	extinct	15.97	20.43
Buteo_fluviaticus	extinct	33.3	33.9
Hadrogyps_aigialeus	extinct	13.82	15.97
Primapus_lacki	extinct	47.8	56
Primapus_lacki	extinct	47.8	56
Miomancalla_wetmorei	extinct	3.6	7.246
Ichthyornis_dispar	extinct	70.6	89.3
Hesperornis	extinct	70.6	89.3
Neogaeornis_wetzeli	extinct	66	70.6
Alexornis_antecedens	extinct	83.6	86.3
Yacoraitichnus_avis	extinct	66	72.1
Patagonichnornis_venetiorum	extinct	66	70.6
Emuarius_gidju	extinct	15.97	28.4
Dromaius	extinct	11.608	15.97
Dromaius	extinct	5.333	11.608
Dromaius_ocypus	extinct	2.588	5.333
Dromaius_novaehollandiae	extinct	0.781	3.6
Dromaius	extinct	0.781	3.6
Dromaius_ocypus	extinct	2.588	5.333
Dromaius_novaehollandiae	extinct	0.126	5.333
Dromaius	extinct	0	5.333
Lithornis_vulturinus	extinct	48.6	55.8
Paracathartes_howardae	extinct	48.6	55.8
Eocathartes_robustus	extinct	41.3	47.8
Neocathartes_grallator	extinct	33.9	37.2
Diatropornis	extinct	28.4	37.2
Plesiocathartes	extinct	28.4	37.2
Massospondylus_carinatus	extinct	190.8	201.3
Massospondylus	extinct	190.8	201.3
Megaloolithus_siruguei	extinct	66	70.6
Titanosauridae	extinct	66	72.1
Amargasaurus_cazaui	extinct	122.46	129.4
Telmatosaurus_transsylvanicus	extinct	66	72.1
Owenodon	extinct	139.8	145
Aves	extinct	139.8	145
Theropoda	extinct	139.8	145
Ankylosauria	extinct	139.8	145
Valdosaurus_canaliculatus	extinct	139.8	145
Iguanodontia	extinct	139.8	145
Dinosauria	extinct	109	112.03
Styracosaurus_albertensis	extinct	70.6	83.5
Centrosaurus_apertus	extinct	72.1	83.6
Apatosaurus_louisae	extinct	145	157.3
Dinosauria	extinct	152.1	157.3
Hispanosauropus_hauboldi	extinct	152.1	157.3
Hispanosauropus_hauboldi	extinct	152.1	157.3
Dinosauria	extinct	100.5	145
Macroolithus	extinct	66	70.6
Macroolithus_rugustus	extinct	66	72.1
Spheroolithus	extinct	89.8	100.5
Dinosauria	extinct	66	100.5
Diplodocus_carnegii	extinct	145	157.3
Brontosaurus_excelsus	extinct	145	157.3
Stegosaurus	extinct	145	157.3
Dinosauria	extinct	145	157.3
Camarasaurus	extinct	145	157.3
Ornithopoda	extinct	66	72.1
Patagopteryx_deferrariisi	extinct	83.6	86.3
Neuquenornis_volans	extinct	83.6	86.3
Dilophosaurus_wetherilli	extinct	182.7	199.3
Dilophosaurus_wetherilli	extinct	182.7	199.3
Graciliceratops_mongoliensis	extinct	83.6	100.5
Ankylosauria	extinct	83.6	100.5
Ornithomimidae	extinct	83.6	100.5
Theropoda	extinct	83.6	100.5
Hadrosauridae	extinct	83.6	100.5
Aves	extinct	0	0.0117
Ankylosauridae	extinct	72.1	83.6
Bagaceratops_rozhdestvenskyi	extinct	70.6	83.5
Gobipteryx_minuta	extinct	72.1	83.6
Aves	extinct	0.781	1.806
Aves	extinct	1.806	2.588
Aves	extinct	2.588	7.246
Numida	extinct	2.588	3.6
Accipitridae	extinct	11.608	23.03
Struthionidae	extinct	11.608	23.03
Phasianidae	extinct	11.608	23.03
Aves	extinct	0	2.588
Struthio_camelus	extinct	0	0.0117
Struthio_camelus	extinct	0	0.0117
Columbidae	extinct	0	0.0117
Struthio_camelus	extinct	0	0.0117
Anas_acuta	extinct	0.0117	2.588
Ardea_cinerea	extinct	0.0117	2.588
Anas_crecca	extinct	0.0117	2.588
Anas_acuta	extinct	0.0117	2.588
Phalacrocorax_carbo	extinct	0.0117	2.588
Ardea_cinerea	extinct	0.0117	2.588
Phoenicopterus	extinct	0.0117	2.588
Anser_albifrons	extinct	0.0117	2.588
Anser	extinct	0.0117	2.588
Branta_bernicla	extinct	0.0117	2.588
Tadorna	extinct	0.0117	2.588
Anas_platyrhynchos	extinct	0.0117	2.588
Anas	extinct	0.0117	2.588
Aythya	extinct	0.0117	2.588
Mergus_merganser	extinct	0.0117	2.588
Mergus_serrator	extinct	0.0117	2.588
Mergus	extinct	0.0117	2.588
Milvus	extinct	0.0117	2.588
Pandion	extinct	0.0117	2.588
Numenius	extinct	0.0117	2.588
Numenius	extinct	0.0117	2.588
Anas_crecca	extinct	0.0117	2.588
Aquila_chrysaetos	extinct	0.0117	2.588
Anas_platyrhynchos	extinct	0.0117	2.588
Grus_grus	extinct	0.0117	2.588
Struthio_camelus	extinct	0	0.0117
Streptopelia	extinct	0	0.0117
Struthio_camelus	extinct	0	0.0117
Struthio_camelus	extinct	0	0.0117
Struthio_camelus	extinct	0.0117	2.588
Aves	extinct	0	0.0117
Struthio_camelus	extinct	0.0117	2.588
Francolinus	extinct	0.0117	2.588
Aves	extinct	0.781	1.806
Struthio	extinct	0.781	2.588
Aves	extinct	0.0117	2.588
Struthio	extinct	0.781	1.806
Aves	extinct	0.781	1.806
Struthio	extinct	0.781	1.806
Aves	extinct	0.781	1.806
Struthio_camelus	extinct	0	2.588
Struthio_camelus	extinct	0	2.588
Francolinus	extinct	0	0.0117
Struthio_camelus	extinct	0	2.588
Francolinus	extinct	0	2.588
Aves	extinct	0	2.588
Caprimulgus	extinct	0	2.588
Columba	extinct	0	2.588
Columbidae	extinct	0	2.588
Aves	extinct	2.588	23.03
Struthio_camelus	extinct	0	2.588
Pelecaniformes	extinct	5.333	11.608
Dege_hendeyi	extinct	5.333	11.608
Struthio	extinct	2.588	23.03
Struthio	extinct	3.6	5.333
Accipitridae	extinct	3.6	5.333
Aves	extinct	3.6	5.333
Phasianidae	extinct	3.6	5.333
Puffinus	extinct	3.6	5.333
Anatidae	extinct	3.6	5.333
Passeriformes	extinct	3.6	5.333
Gruidae	extinct	3.6	5.333
Columbidae	extinct	3.6	5.333
Inguza_predemersus	extinct	3.6	5.333
Ciconiidae	extinct	3.6	5.333
Pachyptila_salax	extinct	3.6	5.333
Procellariiformes	extinct	3.6	5.333
Rallidae	extinct	3.6	5.333
Oceanites_zaloscarthmus	extinct	3.6	5.333
Psittaciformes	extinct	3.6	5.333
Aves	extinct	3.6	5.333
Phasianidae	extinct	3.6	5.333
Inguza_predemersus	extinct	3.6	5.333
Pachyptila_salax	extinct	3.6	5.333
Oceanites_zaloscarthmus	extinct	3.6	5.333
Struthio	extinct	3.6	5.333
Apodidae	extinct	3.6	5.333
Pachyptila	extinct	3.6	5.333
Anseriformes	extinct	2.588	11.62
Struthio	extinct	2.588	11.608
Struthio	extinct	2.588	11.62
Struthio	extinct	0.0117	2.588
Aves	extinct	5.333	7.246
Aves	extinct	0.781	1.806
Aves	extinct	0.781	2.588
Struthio	extinct	0.781	1.806
Aves	extinct	2.588	5.333
Anatidae	extinct	2.588	5.333
Aves	extinct	2.588	5.333
Anas_acuta	extinct	0.0117	2.588
Ardea_cinerea	extinct	0.0117	2.588
Anser	extinct	0.0117	2.588
Tadorna	extinct	0.0117	2.588
Anas_platyrhynchos	extinct	0.0117	2.588
Anas	extinct	0.0117	2.588
Aythya	extinct	0.0117	2.588
Mergus_merganser	extinct	0.0117	2.588
Pandion	extinct	0.0117	2.588
Anas_crecca	extinct	0.0117	2.588
Anas	extinct	0.0117	2.588
Ardea_cinerea	extinct	0.0117	2.588
Anas_crecca	extinct	0.0117	2.588
Anas_acuta	extinct	0.0117	2.588
Aquila_chrysaetos	extinct	0.0117	2.588
