Species	Status
Aardonyx_celestae	extinct
Abavornis_bonaparti	extinct
Abelichnus_astigarrae	extinct
Abelisauria	extinct
Abelisauridae	extinct
Abelisauroidea	extinct
Abelisaurus_comahuensis	extinct
Aberratiodontus_wui	extinct
Abrictosaurus_consors	extinct
Abrosaurus_dongpoensis	extinct
Abydosaurus_mcintoshi	extinct
Acanthopholis_macrocercus	extinct
Accipiter	extinct
Accipiter_cooperi	extinct
Accipiter_fasciatus	extinct
Accipiter_gentilis	extinct
Accipiter_nisus	extinct
Accipiter_striatus	extinct
Accipitridae	extinct
Accipitrinae	extinct
Achelousaurus_horneri	extinct
Acheroraptor_temertyorum	extinct
Achillesaurus_manazzonei	extinct
Achillobator_giganticus	extinct
Acristavus_gagslarsoni	extinct
Acrocanthosaurus	extinct
Acrocanthosaurus_atokensis	extinct
Acrotholus_audeti	extinct
Actiosaurus_gaudryi	extinct
Actitis_macularia	extinct
Adamantisaurus_mezzalirai	extinct
Adasaurus_mongoliensis	extinct
Adelalopus	extinct
Adelolophus_hutchisoni	extinct
Adeopapposaurus_mognai	extinct
Aechmophorus	extinct
Aechmophorus_elasson	extinct
Aechmophorus_occidentalis	extinct
Aegialornis_gallicus	extinct
Aegialornis_wetmorei	extinct
Aegialornithidae	extinct
Aegolius	extinct
Aegolius_acadicus	extinct
Aegolius_gradyi	extinct
Aegolius_martae	extinct
Aegotheles	extinct
Aegotheles_novaezealandiae	extinct
Aegypiinae	extinct
Aegypius	extinct
Aegyptosaurus	extinct
Aegyptosaurus_baharijensis	extinct
Aeolosaurini	extinct
Aeolosaurus	extinct
Aeolosaurus_colhuehuapensis	extinct
Aeolosaurus_maximus	extinct
Aeolosaurus_rionegrinus	extinct
Aepyornis	extinct
Aepyornithidae	extinct
Aerosteon_riocoloradensis	extinct
Aethia	extinct
Aethia_barnesi	extinct
Afrovenator_abakensis	extinct
Agelaius	extinct
Agelaius_phoeniceus	extinct
Ageroolithus	extinct
Ageroolithus_fontllongensis	extinct
Agialopous_wyomingensis	extinct
Agilisaurus_louderbacki	extinct
Agnosphitys_cromhallensis	extinct
Agriocharis_anza	extinct
Agriocharis_progenes	extinct
Agujaceratops	extinct
Agujaceratops_mariscalensis	extinct
Ahshislepelta_minor	extinct
Aix_sponsa	extinct
Aizengyps_toomeyae	extinct
Ajaia	extinct
Ajaia_chione	extinct
Ajancingenia_yanshini	extinct
Ajkaceratops_kozmai	extinct
Alamitornis_minutus	extinct
Alamosaurus	extinct
Alamosaurus_sanjuanensis	extinct
Alaskacephale_gangloffi	extinct
Alauda	extinct
Albalophosaurus_yamaguchiorum	extinct
Albertaceratops_nesmoi	extinct
Albertadromeus_syntarsus	extinct
Albertonykus_borealis	extinct
Albertosaurinae	extinct
Albertosaurus	extinct
Albertosaurus_sarcophagus	extinct
Albinykus_baatar	extinct
Alca	extinct
Alca_ausonia	extinct
Alca_carolinensis	extinct
